time,seconds_elapsed,z,y,x
1760467546415320300,0.1603203125,5.124892234802246,-6.323048114776611,5.4763712882995605
1760467546432116000,0.177115966796875,4.9017229080200195,-6.395661354064941,5.595064163208008
1760467546448849000,0.193848876953125,4.682202339172363,-6.453335762023926,5.71555233001709
1760467546465601500,0.2106015625,4.3876633644104,-6.509786128997803,5.882788181304932
1760467546482365200,0.227365234375,4.002751350402832,-6.579583168029785,6.076444149017334
1760467546499151400,0.2441513671875,3.5546038150787354,-6.659746170043945,6.264876842498779
1760467546515909600,0.26090966796875,3.0947694778442383,-6.760400295257568,6.399647235870361
1760467546532691700,0.277691650390625,2.6194043159484863,-6.892788887023926,6.47026252746582
1760467546549457000,0.294456787109375,2.146061658859253,-7.072195529937744,6.450937271118164
1760467546566193200,0.311193115234375,1.694064736366272,-7.2597784996032715,6.376666069030762
1760467546582982100,0.327982177734375,1.3296831846237183,-7.478175163269043,6.208460807800293
1760467546599741700,0.34474169921875,1.107796549797058,-7.774301052093506,5.879552841186523
1760467546616504800,0.3615048828125,0.6541841626167297,-8.198829650878906,5.346713066101074
1760467546633271800,0.378271728515625,0.23208944499492645,-8.568799018859863,4.77052640914917
1760467546650035200,0.39503515625,0.049708351492881775,-8.803173065185547,4.32871675491333
1760467546666772700,0.411772705078125,0.14018115401268005,-8.94619083404541,4.022700786590576
1760467546683561700,0.428561767578125,0.4706435799598694,-9.015334129333496,3.8390591144561768
1760467546700324400,0.445324462890625,0.8552079796791077,-9.050389289855957,3.6871674060821533
1760467546717114400,0.4621142578125,1.2111986875534058,-9.078205108642578,3.5150129795074463
1760467546733823200,0.4788232421875,1.5869226455688477,-9.115840911865234,3.258718967437744
1760467546750593000,0.495593017578125,1.9300730228424072,-9.178820610046387,2.8740484714508057
1760467546767389200,0.51238916015625,2.048772096633911,-9.243027687072754,2.570033311843872
1760467546784136700,0.52913671875,2.302271604537964,-9.227458953857422,2.406170606613159
1760467546800908800,0.54590869140625,2.5251686573028564,-9.152547836303711,2.46789813041687
1760467546817622800,0.562622802734375,2.4862098693847656,-9.139098167419434,2.5557291507720947
1760467546834430000,0.579429931640625,2.5006518363952637,-9.08520793914795,2.727979898452759
1760467546851198200,0.5961982421875,2.588832139968872,-8.988402366638184,2.9568049907684326
1760467546867932400,0.612932373046875,2.462651491165161,-9.000205039978027,3.027831554412842
1760467546884717800,0.6297177734375,2.438934087753296,-8.996399879455566,3.0581858158111572
1760467546901487900,0.64648779296875,2.465325355529785,-9.006309509277344,3.0074360370635986
1760467546918218800,0.66321875,2.5608670711517334,-9.008810043334961,2.918804407119751
1760467546934986800,0.67998681640625,2.5260889530181885,-9.047374725341797,2.828427791595459
1760467546951749600,0.69674951171875,2.5468273162841797,-9.061638832092285,2.7634196281433105
1760467546968511700,0.71351171875,2.5649945735931396,-9.07115364074707,2.7149734497070312
1760467546985283300,0.730283447265625,2.576328992843628,-9.085355758666992,2.6561200618743896
