time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1760467546423706000,0.1687060546875,0.3951185643672943,-0.46666455268859863,-0.18559329211711884,0.7691947817802429,-0.8562299609184265,0.7132439613342285,-0.6122595071792603
1760467546440468500,0.185468505859375,0.4024096131324768,-0.4797668755054474,-0.1809617131948471,0.7583819031715393,-0.8872016668319702,0.7216200232505798,-0.6208466291427612
1760467546457218600,0.202218505859375,0.40969932079315186,-0.4953955113887787,-0.17457695305347443,0.7458235025405884,-0.925919771194458,0.7292808294296265,-0.6281083226203918
1760467546473983200,0.218983154296875,0.4175868034362793,-0.5155520439147949,-0.16584067046642303,0.7296056151390076,-0.9780600070953369,0.7376788854598999,-0.6339567303657532
1760467546490748200,0.235748046875,0.427415668964386,-0.5396980047225952,-0.15468378365039825,0.708600640296936,-1.0420585870742798,0.7485386729240417,-0.6420661807060242
1760467546507530000,0.252530029296875,0.4381152391433716,-0.5640112161636353,-0.1423225998878479,0.6853399276733398,-1.108277678489685,0.7604982852935791,-0.6526371836662292
1760467546524313000,0.26931298828125,0.4493614733219147,-0.5874220728874207,-0.13114607334136963,0.6601592898368835,-1.1741645336151123,0.7769169807434082,-0.6635974049568176
1760467546541050000,0.286050048828125,0.46372172236442566,-0.609726071357727,-0.12046777456998825,0.6314141154289246,-1.2381128072738647,0.800373911857605,-0.6814422011375427
1760467546557850600,0.3028505859375,0.4802500605583191,-0.6312410235404968,-0.1080133318901062,0.5993561148643494,-1.3021736145019531,0.8268236517906189,-0.7058876752853394
1760467546574571300,0.3195712890625,0.49767589569091797,-0.6495524048805237,-0.09702905267477036,0.5665560960769653,-1.3592369556427002,0.8579109907150269,-0.7335475087165833
1760467546591368000,0.336367919921875,0.5167344212532043,-0.6603704690933228,-0.09223464876413345,0.537018895149231,-1.3922334909439087,0.8971238136291504,-0.7675089240074158
1760467546608126500,0.35312646484375,0.5361364483833313,-0.6717140078544617,-0.0982666164636612,0.501698911190033,-1.4339778423309326,0.9594242572784424,-0.7855722308158875
1760467546624886800,0.36988671875,0.547315776348114,-0.6870334148406982,-0.11763593554496765,0.4632411003112793,-1.5151307582855225,1.0373034477233887,-0.7467676401138306
1760467546641630700,0.386630615234375,0.5556399822235107,-0.6950327754020691,-0.13581936061382294,0.43559929728507996,-1.577472448348999,1.0988863706588745,-0.7069839835166931
1760467546658417000,0.4034169921875,0.570645272731781,-0.6960597038269043,-0.1392432153224945,0.4128877818584442,-1.5894911289215088,1.1418150663375854,-0.730002760887146
