time,seconds_elapsed,z,y,x
1760467546400654600,0.145654541015625,4.3070807456970215,-5.648257732391357,7.493124008178711
1760467546417413400,0.162413330078125,4.024727821350098,-7.083951473236084,7.645666599273682
1760467546434213600,0.179213623046875,3.6502509117126465,-7.610970497131348,6.131608009338379
1760467546450942700,0.195942626953125,2.4023938179016113,-6.186643123626709,5.128417015075684
1760467546467697000,0.21269677734375,1.7838492393493652,-5.881557941436768,4.002593994140625
1760467546484460800,0.229460693359375,2.117648124694824,-6.2500529289245605,4.530211448669434
1760467546501249300,0.246249267578125,1.160519003868103,-7.492526054382324,4.049253940582275
1760467546518005800,0.263005859375,2.1876380443573,-7.720442295074463,5.403591632843018
1760467546534787000,0.279787109375,3.053241729736328,-8.167900085449219,4.810770034790039
1760467546551553800,0.2965537109375,2.6524438858032227,-7.944170951843262,5.523232936859131
1760467546568288800,0.313288818359375,2.7008986473083496,-8.94975471496582,6.185446739196777
1760467546585077800,0.330077880859375,3.04307222366333,-9.915857315063477,3.5748770236968994
1760467546601834000,0.346833984375,-9.780064582824707,-13.34716510772705,2.0297117233276367
1760467546618600200,0.36360009765625,-3.040081262588501,-13.271790504455566,7.46919584274292
1760467546635367200,0.3803671875,7.619345664978027,-9.866804122924805,13.219148635864258
1760467546652130600,0.397130615234375,10.285548210144043,-6.808178424835205,13.018750190734863
1760467546668868000,0.4138681640625,6.832107067108154,-5.945566177368164,11.580663681030273
1760467546685657600,0.43065771484375,0.36251261830329895,-8.922835350036621,9.759127616882324
1760467546702419200,0.447419189453125,-5.80917501449585,-9.990633010864258,7.061817646026611
1760467546719212800,0.464212890625,-8.334200859069824,-9.842277526855469,5.2390851974487305
1760467546735915000,0.4809150390625,-7.747959613800049,-6.959524631500244,7.04925537109375
1760467546752691700,0.497691650390625,-5.155934810638428,-5.170291423797607,9.033503532409668
1760467546769484500,0.514484619140625,-1.5846468210220337,-4.758726119995117,7.139584541320801
1760467546786228200,0.531228271484375,-7.10429048538208,-6.049654006958008,4.732405185699463
1760467546803008300,0.54800830078125,-10.326824188232422,-8.987442016601562,1.7665013074874878
1760467546819715800,0.5647158203125,0.30149564146995544,-8.289336204528809,3.0867412090301514
1760467546836524300,0.581524169921875,4.067798614501953,-7.335795879364014,5.2145586013793945
1760467546853297200,0.598297119140625,1.4141582250595093,-8.407780647277832,3.8111681938171387
1760467546870028000,0.615028076171875,-2.1996021270751953,-9.56889820098877,2.039283037185669
1760467546886810000,0.63181005859375,-0.745364248752594,-10.163514137268066,1.1700903177261353
1760467546903586300,0.64858642578125,3.3828530311584473,-9.527621269226074,1.150349497795105
1760467546920311000,0.66531103515625,1.669592022895813,-9.562915802001953,2.0955145359039307
1760467546937082000,0.68208203125,-0.08733802288770676,-9.652048110961914,2.750549554824829
1760467546953845200,0.69884521484375,0.5784648656845093,-10.38365364074707,3.2548370361328125
1760467546970607000,0.715607177734375,1.7994025945663452,-10.922039031982422,3.55214524269104
1760467546987377700,0.732377685546875,1.9884356260299683,-10.38784122467041,4.422534465789795
1760467547004145700,0.749145751953125,3.009572744369507,-9.517452239990234,4.281956195831299
1760467547020906000,0.765906005859375,2.544766902923584,-9.190832138061523,3.36969256401062
1760467547037682400,0.782682373046875,2.324627161026001,-9.90987491607666,2.7696921825408936
1760467547054453200,0.799453369140625,2.062613010406494,-9.746564865112305,3.397808074951172
1760467547071187200,0.816187255859375,1.5355939865112305,-9.393623352050781,3.913461446762085
1760467547087977200,0.832977294921875,1.2634103298187256,-8.782855987548828,4.038486480712891
1760467547104746000,0.84974609375,2.0452651977539062,-8.154141426086426,3.8057844638824463
1760467547121481200,0.866481201171875,1.913659930229187,-7.662416458129883,3.256033420562744
1760467547138240800,0.88324072265625,1.667797327041626,-7.225726127624512,3.7573297023773193
1760467547155029000,0.900029052734375,1.3549357652664185,-6.56829833984375,4.727619171142578
1760467547171792600,0.916792724609375,1.3908281326293945,-5.909673690795898,4.972883701324463
1760467547188556300,0.933556396484375,-1.1204391717910767,-5.512465000152588,4.454239368438721
1760467547205319000,0.95031884765625,0.12681959569454193,-5.120640277862549,4.241278171539307
1760467547222077000,0.967076904296875,1.5583257675170898,-4.6199421882629395,4.305285930633545
1760467547238851300,0.983851318359375,0.9349954724311829,-4.482355117797852,3.294916868209839
1760467547255603000,1.00060302734375,2.6703901290893555,-4.347160339355469,1.9770697355270386
1760467547272379000,1.01737890625,2.266003131866455,-4.898705959320068,1.6109678745269775
1760467547289104600,1.034104736328125,2.338984251022339,-5.90668249130249,1.934597134590149
1760467547305879000,1.050879150390625,1.2526426315307617,-7.130611419677734,3.379862070083618
1760467547322656300,1.06765625,1.8747764825820923,-8.306085586547852,3.985246181488037
1760467547339431200,1.08443115234375,1.8317056894302368,-8.7445707321167,4.804189682006836
1760467547356168700,1.101168701171875,1.9956140518188477,-8.421539306640625,5.732006549835205
1760467547372951600,1.11795166015625,1.8317056894302368,-7.905886173248291,5.726622581481934
1760467547389670400,1.13467041015625,2.7248268127441406,-7.919046401977539,5.419743061065674
1760467547406472000,1.151471923828125,1.1874382495880127,-8.029714584350586,5.757131099700928
1760467547423241500,1.168241455078125,1.225723385810852,-8.315656661987305,5.98444938659668
1760467547440001500,1.18500146484375,1.2065808773040771,-9.691530227661133,5.044668197631836
1760467547456764400,1.201764404296875,1.5625132322311401,-10.911271095275879,4.865804672241211
1760467547473500000,1.2185,1.5092729330062866,-10.506285667419434,4.681557655334473
1760467547490269700,1.235269775390625,1.2987045049667358,-11.905488967895508,2.104487419128418
1760467547507067400,1.2520673828125,0.137587308883667,-13.555339813232422,0.7890332937240601
1760467547523811600,1.2688115234375,1.755135416984558,-13.35434341430664,1.5272190570831299
1760467547540591600,1.285591552734375,2.45204496383667,-11.130812644958496,3.334996461868286
1760467547557346300,1.30234619140625,0.7698906660079956,-8.380861282348633,2.1481566429138184
1760467547574105900,1.31910595703125,-1.0648061037063599,-7.559525012969971,-1.0947163105010986
1760467547590855700,1.335855712890625,-1.643869161605835,-6.6592254638671875,-1.2418749332427979
1760467547607596000,1.352595947265625,-0.7357929348945618,-6.550950050354004,0.3068794906139374
1760467547624408800,1.369408935546875,0.22133609652519226,-6.997211456298828,1.6516457796096802
1760467547641158100,1.386158203125,1.0719845294952393,-8.020143508911133,3.1627132892608643
1760467547657924000,1.402924072265625,1.3645070791244507,-8.49870777130127,4.2000017166137695
1760467547674677000,1.419677001953125,1.6271194219589233,-8.757132530212402,4.889134883880615
1760467547691424800,1.4364248046875,0.729810893535614,-8.779266357421875,4.331607341766357
1760467547708217000,1.453217041015625,-0.24586252868175507,-9.512666702270508,3.2853455543518066
1760467547724957000,1.46995703125,-1.3513466119766235,-9.8207426071167,3.0167510509490967
1760467547741730300,1.486730224609375,-0.0891326442360878,-8.133204460144043,4.931009292602539
1760467547758457900,1.503457763671875,-0.9367900490760803,-4.911866664886475,5.969494342803955
1760467547775267800,1.520267822265625,-2.1816561222076416,-3.593421459197998,4.513461589813232
1760467547792029400,1.537029541015625,-0.5868397355079651,-4.803591251373291,2.782254457473755
1760467547808802800,1.553802734375,0.3475574851036072,-7.631907939910889,3.1208388805389404
1760467547825551000,1.570551025390625,3.4498519897460938,-10.311869621276855,4.564907550811768
1760467547842300000,1.5872998046875,3.850649833679199,-10.960922241210938,6.832107067108154
1760467547859084500,1.60408447265625,2.4460630416870117,-11.193624496459961,11.059626579284668
1760467547875849000,1.620848876953125,2.6973092555999756,-12.911670684814453,11.052447319030762
1760467547892614100,1.6376142578125,1.3680963516235352,-13.418949127197266,5.117051124572754
1760467547909358300,1.6543583984375,1.2765709161758423,-12.81177043914795,0.43968117237091064
1760467547926141700,1.6711416015625,2.018944025039673,-11.131410598754883,0.4815555512905121
1760467547942905000,1.687905029296875,2.5262224674224854,-9.120841979980469,3.328416347503662
1760467547959627800,1.704627685546875,3.3104701042175293,-8.80798053741455,4.6271209716796875
1760467547976435000,1.72143505859375,3.7286159992218018,-8.659625053405762,5.172684192657471
1760467547993162200,1.738162353515625,1.7521443367004395,-9.079565048217773,4.59721040725708
1760467548009938400,1.7549384765625,1.9932212829589844,-8.983254432678223,3.9529430866241455
1760467548026733300,1.7717333984375,3.3170504570007324,-8.961718559265137,3.521636724472046
1760467548043484400,1.788484375,3.1166515350341797,-8.796614646911621,3.37687087059021
1760467548060251600,1.805251708984375,3.335594654083252,-7.953144073486328,3.9589250087738037
1760467548076985000,1.821985107421875,2.1714866161346436,-7.610372543334961,5.950351715087891
1760467548093774000,1.838774169921875,0.31405797600746155,-8.046463966369629,6.489933013916016
1760467548110531600,1.855531494140625,0.9332008361816406,-8.004590034484863,6.656832695007324
1760467548127326700,1.87232666015625,0.8626125454902649,-8.088338851928711,7.081558704376221
1760467548144057000,1.88905712890625,0.5605186820030212,-9.580862045288086,4.824528694152832
