time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1764634054560642800,0.238642822265625,-0.7033618688583374,-0.4335586726665497,0.3284846246242523,0.4576098918914795,0.1585734337568283,-1.1445711851119995,2.090271472930908
1764634054577386800,0.25538671875,-0.7070899605751038,-0.4312900900840759,0.32728809118270874,0.45485740900039673,0.16875898838043213,-1.1376761198043823,2.106362819671631
1764634054594138600,0.272138671875,-0.7126180529594421,-0.427142858505249,0.3214191496372223,0.45432835817337036,0.16187484562397003,-1.1216983795166016,2.108262538909912
1764634054610883600,0.288883544921875,-0.7192481160163879,-0.42117518186569214,0.3127930760383606,0.4554712772369385,0.14639513194561005,-1.099092721939087,2.1023223400115967
1764634054627638500,0.305638427734375,-0.7260195016860962,-0.4142671823501587,0.30310189723968506,0.4576107859611511,0.12818637490272522,-1.0736298561096191,2.0931406021118164
1764634054644365300,0.322365234375,-0.7324280738830566,-0.40776440501213074,0.2927774488925934,0.4599550664424896,0.10798191279172897,-1.0484384298324585,2.0825774669647217
1764634054661122000,0.3391220703125,-0.7386630773544312,-0.4025360941886902,0.2815761864185333,0.4615802764892578,0.0855615884065628,-1.0248130559921265,2.0727081298828125
1764634054677870600,0.35587060546875,-0.7447542548179626,-0.3983985185623169,0.2697732746601105,0.46243077516555786,0.062054343521595,-1.0026891231536865,2.064293384552002
1764634054694612700,0.37261279296875,-0.7511753439903259,-0.3944954574108124,0.2569628655910492,0.46268701553344727,0.03769182786345482,-0.9799280166625977,2.0575664043426514
1764634054711361800,0.38936181640625,-0.7578930258750916,-0.3894391655921936,0.24360349774360657,0.4632412791252136,0.014605110511183739,-0.954458475112915,2.0518836975097656
1764634054728100900,0.406100830078125,-0.7645854949951172,-0.38270264863967896,0.23074637353420258,0.46443939208984375,-0.004385196603834629,-0.9265508651733398,2.047658920288086
1764634054744869000,0.422869140625,-0.7711446285247803,-0.3745056390762329,0.21926219761371613,0.46583858132362366,-0.01724831573665142,-0.8976718187332153,2.0464465618133545
