time,seconds_elapsed,relativeAltitude,pressure
1764634054576293400,0.25429345703125,0,1012.3181762695312
1764634054601332500,0.27933251953125,-0.15325164794921875,1012.3364868164062
1764634054626386400,0.304386474609375,-1.1176819801330566,1012.4524536132812
1764634054651409400,0.329409423828125,-1.3475594520568848,1012.4799194335938
1764634054676449300,0.35444921875,0.45711374282836914,1012.2632446289062
1764634054701494500,0.37949462890625,2.9249978065490723,1011.9672241210938
1764634054726530000,0.404530029296875,3.358330249786377,1011.9153442382812
1764634054751550500,0.429550537109375,0.6869912147521973,1012.2357788085938
1764634054776619800,0.454619873046875,-2.99898099899292,1012.6782836914062
1764634054801630000,0.4796298828125,-4.803653717041016,1012.8949584960938
1764634054826670600,0.504670654296875,-4.626621246337891,1012.8735961914062
1764634054851725000,0.52972509765625,-4.372962951660156,1012.8430786132812
1764634054876766700,0.5547666015625,-5.61747407913208,1012.9926147460938
1764634054901806600,0.579806640625,-7.548976421356201,1013.2245483398438
1764634054926874600,0.60487451171875,-9.557104110717773,1013.4656372070312
1764634054951900000,0.62989990234375,-11.993280410766602,1013.7586059570312
1764634054976943900,0.65494384765625,-14.508726119995117,1014.0607299804688
1764634055001975800,0.679975830078125,-15.829862594604492,1014.2194213867188
1764634055027003400,0.70500341796875,-15.142871856689453,1014.1371459960938
1764634055052040000,0.7300400390625,-13.240434646606445,1013.9082641601562
1764634055077078000,0.755078125,-11.612793922424316,1013.7129516601562
1764634055102114600,0.780114501953125,-10.952224731445312,1013.6336059570312
1764634055127149300,0.8051494140625,-11.052631378173828,1013.6458129882812
1764634055152188400,0.8301884765625,-11.866451263427734,1013.7434692382812
1764634055177227000,0.85522705078125,-12.046127319335938,1013.7648315429688
1764634055202283300,0.880283203125,-10.724989891052246,1013.6061401367188
1764634055227315700,0.905315673828125,-8.843690872192383,1013.3803100585938
1764634055252353300,0.930353271484375,-5.947758674621582,1013.0324096679688
1764634055277387000,0.955386962890625,-0.8904461860656738,1012.4251098632812
1764634055302409700,0.98040966796875,3.9158501625061035,1011.8483276367188
1764634055327450000,1.0054501953125,4.349182605743408,1011.7964477539062
1764634055352495400,1.030495361328125,2.64491605758667,1012.0009155273438
1764634055377527800,1.05552783203125,3.0518269538879395,1011.9520874023438
1764634055402568400,1.080568359375,4.779873371124268,1011.7445678710938
1764634055427618000,1.1056181640625,6.053450107574463,1011.5919799804688
1764634055452681200,1.13068115234375,8.47113037109375,1011.3020629882812
1764634055477679900,1.155679931640625,10.555883407592773,1011.0518188476562
1764634055502723800,1.180723876953125,9.00486946105957,1011.238037109375
1764634055527783700,1.20578369140625,5.213206768035889,1011.6927490234375
1764634055552824300,1.23082421875,2.5682902336120605,1012.0101318359375
1764634055577866800,1.25586669921875,2.1613802909851074,1012.0589599609375
1764634055602888000,1.280887939453125,3.5089402198791504,1011.897216796875
1764634055627942700,1.305942626953125,5.59369421005249,1011.64697265625
1764634055652985300,1.3309853515625,5.643897533416748,1011.640869140625
1764634055678020400,1.356020263671875,2.821948528289795,1011.9796142578125
1764634055703076600,1.38107666015625,0.507317066192627,1012.25732421875
1764634055728117500,1.406117431640625,0.507317066192627,1012.25732421875
1764634055753157000,1.4311572265625,0.10040664672851562,1012.30615234375
1764634055778182000,1.456181884765625,-1.8812990188598633,1012.544189453125
1764634055803239700,1.48123974609375,-2.8747940063476562,1012.6632080078125
1764634055828268300,1.506268310546875,-2.8747940063476562,1012.6632080078125
1764634055853309000,1.531308837890625,-3.9158496856689453,1012.788330078125
1764634055878349800,1.556349853515625,-3.559142589569092,1012.74560546875
1764634055903391700,1.581391845703125,0.9644303321838379,1012.202392578125
1764634055928431000,1.60643115234375,5.186783313751221,1011.69580078125
1764634055953465900,1.6314658203125,4.1959309577941895,1011.8148193359375
1764634055978494500,1.656494384765625,1.141462802886963,1012.18115234375
1764634056003553500,1.681553466796875,0.7345519065856934,1012.22998046875
1764634056028592000,1.706592041015625,1.4981694221496582,1012.138427734375
1764634056053631500,1.731631591796875,-0.1294713020324707,1012.333740234375
1764634056078683400,1.756683349609375,-4.0426788330078125,1012.8037109375
1764634056103705000,1.781705078125,-7.881902694702148,1013.2645263671875
1764634056128745200,1.8067451171875,-9.863608360290527,1013.5025634765625
1764634056153788000,1.831787841796875,-10.370924949645996,1013.5635986328125
1764634056178825500,1.856825439453125,-10.550600051879883,1013.5849609375
1764634056203871200,1.881871337890625,-9.890030860900879,1013.505615234375
