time,seconds_elapsed,relativeAltitude,pressure
1764544901432628000,0.1956279296875,0,1005.1985473632812
1764544901457758700,0.2207587890625,-0.02642059326171875,1005.2015991210938
1764544901482898400,0.2458984375,-0.15325164794921875,1005.2168579101562
1764544901508039200,0.2710390625,-0.2298736572265625,1005.2260131835938
1764544901533194000,0.296194091796875,-0.02642059326171875,1005.2015991210938
1764544901558332000,0.321331787109375,-0.02642059326171875,1005.2015991210938
1764544901583474700,0.346474609375,-1.22601318359375,1005.3450317382812
1764544901608615400,0.371615478515625,-3.7837371826171875,1005.6502075195312
1764544901633758700,0.3967587890625,-5.369098663330078,1005.8394165039062
1764544901658898700,0.421898681640625,-4.933124542236328,1005.7875366210938
1764544901684041000,0.447041015625,-4.14044189453125,1005.6929321289062
1764544901709181700,0.472181640625,-4.217067718505859,1005.7020874023438
1764544901734325000,0.497324951171875,-3.6806869506835938,1005.6380004882812
1764544901759468500,0.522468505859375,-1.4823150634765625,1005.3755493164062
1764544901784611800,0.54761181640625,0.8957290649414062,1005.0917358398438
1764544901809752600,0.572752685546875,1.9447174072265625,1004.9666137695312
1764544901834896100,0.597896240234375,2.0451202392578125,1004.9544067382812
1764544901860038700,0.62303857421875,2.6607742309570312,1004.8811645507812
1764544901885180200,0.64818017578125,4.016258239746094,1004.7194213867188
1764544901910321400,0.6733212890625,5.244911193847656,1004.5729370117188
1764544901935463400,0.69846337890625,5.60162353515625,1004.5302124023438
1764544901960604400,0.7236044921875,5.754875183105469,1004.5119018554688
1764544901985745000,0.748744873046875,6.2674713134765625,1004.4508666992188
1764544902010885000,0.773885009765625,6.573974609375,1004.4142456054688
1764544902036026400,0.7990263671875,6.2674713134765625,1004.4508666992188
1764544902061169200,0.824169189453125,5.8579254150390625,1004.4996948242188
1764544902086311400,0.8493115234375,6.03759765625,1004.4783325195312
1764544902111452400,0.874452392578125,6.677024841308594,1004.4020385742188
1764544902136595200,0.89959521484375,6.7800750732421875,1004.3898315429688
1764544902161736200,0.924736083984375,5.524993896484375,1004.5393676757812
1764544902186877700,0.949877685546875,3.9132080078125,1004.7316284179688
1764544902212020000,0.97502001953125,3.863006591796875,1004.7377319335938
1764544902237160700,1.00016064453125,5.065238952636719,1004.5942993164062
1764544902262327800,1.025327880859375,5.807716369628906,1004.5057983398438
1764544902287438000,1.05043798828125,6.011177062988281,1004.4813842773438
1764544902312568300,1.075568359375,6.72723388671875,1004.3959350585938
1764544902337748000,1.100748046875,7.419502258300781,1004.3135375976562
1764544902362904000,1.125904052734375,7.0337371826171875,1004.3593139648438
1764544902388074500,1.151074462890625,6.1644287109375,1004.4630737304688
1764544902413173200,1.17617333984375,5.628044128417969,1004.5271606445312
1764544902438318600,1.201318603515625,5.115440368652344,1004.5881958007812
1764544902463487200,1.2264873046875,4.1695098876953125,1004.7011108398438
1764544902488602600,1.2516025390625,3.786376953125,1004.7468872070312
1764544902513737200,1.2767373046875,4.629264831542969,1004.6461791992188
1764544902538894300,1.301894287109375,5.524993896484375,1004.5393676757812
1764544902564043500,1.32704345703125,6.114219665527344,1004.4691772460938
1764544902589180000,1.352179931640625,6.447151184082031,1004.4295043945312
1764544902614318800,1.37731884765625,4.399383544921875,1004.6736450195312
1764544902639459800,1.4024599609375,-1.5325164794921875,1005.3816528320312
1764544902664629000,1.42762890625,-8.103851318359375,1006.1659545898438
1764544902689746000,1.452745849609375,-11.3221435546875,1006.5504760742188
1764544902714893800,1.477893798828125,-11.475395202636719,1006.5687866210938
1764544902740039000,1.503038818359375,-10.709136962890625,1006.4772338867188
1764544902765204500,1.52820458984375,-9.662796020507812,1006.3521118164062
1764544902790325200,1.5533251953125,-9.150192260742188,1006.2910766601562
1764544902815490800,1.57849072265625,-9.89267349243164,1006.3795776367188
1764544902840633900,1.6036337890625,-10.172752380371094,1006.4131469726562
1764544902865777000,1.62877685546875,-9.60995101928711,1006.3460083007812
1764544902890913300,1.653913330078125,-9.253242492675781,1006.3032836914062
1764544902916041200,1.679041259765625,-7.258323669433594,1006.0652465820312
1764544902941210000,1.704210205078125,-3.0438995361328125,1005.5617065429688
1764544902966353400,1.729353515625,-0.20345306396484375,1005.2229614257812
1764544902991471600,1.7544716796875,-0.486175537109375,1005.2565307617188
1764544903016615000,1.779614990234375,-0.050201416015625,1005.2046508789062
1764544903041786000,1.8047861328125,3.0941009521484375,1004.8292846679688
1764544903066905000,1.829905029296875,6.190849304199219,1004.4600219726562
1764544903092077300,1.855077392578125,7.366661071777344,1004.3196411132812
1764544903117219800,1.8802197265625,7.522552490234375,1004.3013305664062
1764544903142367200,1.9053671875,7.4697113037109375,1004.3074340820312
1764544903167510800,1.9305107421875,7.3930816650390625,1004.3165893554688
1764544903192651500,1.955651611328125,7.596534729003906,1004.2921752929688
1764544903217766400,1.980766357421875,7.3930816650390625,1004.3165893554688
1764544903242932500,2.005932373046875,6.803855895996094,1004.3867797851562
1764544903268075800,2.03107568359375,6.880485534667969,1004.3776245117188
1764544903293193500,2.056193359375,7.419502258300781,1004.3135375976562
1764544903318361300,2.081361328125,7.2662506103515625,1004.3318481445312
1764544903343500000,2.1065,6.370521545410156,1004.4386596679688
1764544903368645600,2.131645751953125,5.498573303222656,1004.5424194335938
1764544903393786000,2.1567861328125,4.9119873046875,1004.6126098632812
1764544903418904800,2.18190478515625,4.2963409423828125,1004.6858520507812
1764544903444066800,2.20706689453125,3.8365859985351562,1004.7407836914062
1764544903469207000,2.23220703125,3.6331253051757812,1004.7651977539062
1764544903494347300,2.25734716796875,3.5300750732421875,1004.7774047851562
1764544903519488500,2.282488525390625,3.8365859985351562,1004.7407836914062
1764544903544625400,2.30762548828125,3.8365859985351562,1004.7407836914062
1764544903569739500,2.332739501953125,2.1983718872070312,1004.9360961914062
1764544903594877400,2.35787744140625,-0.33292388916015625,1005.2382202148438
1764544903620065800,2.383065673828125,-1.611785888671875,1005.3908081054688
1764544903645184500,2.4081845703125,-1.9182891845703125,1005.4274291992188
1764544903670318600,2.433318603515625,-3.0676803588867188,1005.5647583007812
1764544903695468000,2.458468017578125,-4.523571014404297,1005.7387084960938
1764544903720586000,2.4835859375,-4.3967437744140625,1005.7234497070312
1764544903745749500,2.50874951171875,-3.2711334228515625,1005.5891723632812
1764544903770866400,2.533866455078125,-2.5048751831054688,1005.4976196289062
1764544903796007700,2.559007568359375,-1.3554840087890625,1005.3602905273438
1764544903821174800,2.5841748046875,0.3831329345703125,1005.1527709960938
1764544903846315800,2.609315673828125,0.7160568237304688,1005.1130981445312
1764544903871431400,2.634431396484375,-1.5853652954101562,1005.3877563476562
1764544903896596700,2.6595966796875,-4.473369598388672,1005.7326049804688
1764544903921708500,2.68470849609375,-5.7020263671875,1005.8790893554688
1764544903946874000,2.7098740234375,-5.189426422119141,1005.8180541992188
1764544903971990800,2.73499072265625,-3.400604248046875,1005.6044311523438
1764544903997155600,2.760155517578125,-0.38312530517578125,1005.2443237304688
1764544904022296300,2.78529638671875,2.9408493041992188,1004.8475952148438
1764544904047436500,2.8104365234375,5.1682891845703125,1004.5820922851562
1764544904072587500,2.83558740234375,6.011177062988281,1004.4813842773438
1764544904097721000,2.86072119140625,6.317680358886719,1004.4447631835938
1764544904122886700,2.88588671875,6.523773193359375,1004.4203491210938
1764544904148002300,2.911002197265625,6.650604248046875,1004.4050903320312
1764544904173117700,2.93611767578125,6.753654479980469,1004.3928833007812
1764544904198280000,2.961280029296875,7.060157775878906,1004.3562622070312
1764544904223395000,2.98639501953125,7.546333312988281,1004.2982788085938
1764544904248554200,3.01155419921875,7.72601318359375,1004.2769165039062
1764544904273674000,3.036674072265625,7.4697113037109375,1004.3074340820312
1764544904298836200,3.061836181640625,6.9571075439453125,1004.3684692382812
1764544904323951600,3.08695166015625,6.573974609375,1004.4142456054688
1764544904349116000,3.112115966796875,6.420722961425781,1004.4325561523438
1764544904374232000,3.137232177734375,6.061378479003906,1004.4752807617188
1764544904399396900,3.16239697265625,4.808937072753906,1004.6248168945312
1764544904424538000,3.1875380859375,3.1205291748046875,1004.8262329101562
1764544904449676000,3.212676025390625,2.4308929443359375,1004.9086303710938
1764544904474809000,3.23780908203125,2.9408493041992188,1004.8475952148438
1764544904499941400,3.26294140625,2.3780441284179688,1004.9147338867188
1764544904525074400,3.288074462890625,-0.45975494384765625,1005.2534790039062
1764544904550214400,3.31321435546875,-3.2711334228515625,1005.5891723632812
1764544904575378000,3.3383779296875,-3.7071075439453125,1005.6410522460938
1764544904600517000,3.36351708984375,-2.8880081176757812,1005.5433959960938
1764544904625656000,3.388656005859375,-3.0676803588867188,1005.5647583007812
1764544904650769700,3.413769775390625,-3.7071075439453125,1005.6410522460938
1764544904675913500,3.43891357421875,-3.8867835998535156,1005.6624145507812
1764544904701054200,3.46405419921875,-4.296337127685547,1005.7112426757812
1764544904726180600,3.4891806640625,-6.058734893798828,1005.9218139648438
1764544904751355400,3.51435546875,-7.897754669189453,1006.1415405273438
1764544904776473900,3.539473876953125,-8.2808837890625,1006.1873168945312
1764544904801609000,3.56460888671875,-7.4908447265625,1006.0927124023438
1764544904826758400,3.58975830078125,-7.028446197509766,1006.0377807617188
1764544904851889700,3.6148896484375,-7.105072021484375,1006.0469360351562
1764544904877032400,3.640032470703125,-6.774787902832031,1006.0072631835938
1764544904902177800,3.665177734375,-5.548774719238281,1005.8607788085938
1764544904927327200,3.6903271484375,-4.14044189453125,1005.6929321289062
1764544904952458000,3.7154580078125,-3.400604248046875,1005.6044311523438
1764544904977598700,3.7405986328125,-3.1707305908203125,1005.5769653320312
1764544905002742000,3.765741943359375,-3.0438995361328125,1005.5617065429688
1764544905027885000,3.790885009765625,-2.4282455444335938,1005.4884643554688
1764544905053022500,3.8160224609375,-1.9420700073242188,1005.4304809570312
1764544905078166800,3.841166748046875,-2.22479248046875,1005.4640502929688
1764544905103300600,3.866300537109375,-2.6343460083007812,1005.5128784179688
1764544905128440800,3.89144091796875,-0.9961395263671875,1005.3175659179688
1764544905153583900,3.916583984375,3.3266220092773438,1004.8018188476562
1764544905178716700,3.941716552734375,8.109138488769531,1004.2311401367188
1764544905203855600,3.966855712890625,10.719703674316406,1003.9198608398438
1764544905228993500,3.99199365234375,10.439628601074219,1003.9534301757812
1764544905254133800,4.0171337890625,8.1619873046875,1004.2250366210938
1764544905279275000,4.04227490234375,4.758735656738281,1004.6309204101562
1764544905304414200,4.067414306640625,1.611785888671875,1005.0062866210938
1764544905329553700,4.0925537109375,0.22988128662109375,1005.1710815429688
1764544905354691800,4.11769189453125,0.8428878784179688,1005.0978393554688
1764544905379832800,4.142832763671875,1.4823150634765625,1005.0215454101562
1764544905404974300,4.167974365234375,1.0991897583007812,1005.0673217773438
1764544905430114300,4.1931142578125,0.15325164794921875,1005.1802368164062
1764544905455254500,4.218254638671875,-0.2563018798828125,1005.2290649414062
1764544905480395300,4.243395263671875,-0.45975494384765625,1005.2534790039062
1764544905505542100,4.268542236328125,-1.048980712890625,1005.3236694335938
1764544905530676700,4.2936767578125,-1.9182891845703125,1005.4274291992188
1764544905555815400,4.3188154296875,-2.964630126953125,1005.5525512695312
1764544905580957400,4.34395751953125,-3.4772300720214844,1005.6135864257812
1764544905606096400,4.369096435546875,-3.0174789428710938,1005.5586547851562
1764544905631236900,4.39423681640625,-1.7121963500976562,1005.4030151367188
1764544905656376000,4.4193759765625,-0.56280517578125,1005.2656860351562
1764544905681516300,4.444516357421875,-0.10305023193359375,1005.2107543945312
1764544905706659600,4.46965966796875,-0.2563018798828125,1005.2290649414062
1764544905731800800,4.49480078125,-0.7160568237304688,1005.2839965820312
1764544905756945200,4.519945068359375,-1.2524337768554688,1005.3480834960938
1764544905782081800,4.545081787109375,-1.738616943359375,1005.4060668945312
1764544905807222300,4.57022216796875,-2.35162353515625,1005.4793090820312
1764544905832363000,4.595363037109375,-2.7611770629882812,1005.5281372070312
1764544905857503500,4.62050341796875,-2.3780441284179688,1005.4823608398438
1764544905882643500,4.6456435546875,-1.8152389526367188,1005.4152221679688
1764544905907784700,4.67078466796875,-1.5853652954101562,1005.3877563476562
1764544905932924400,4.69592431640625,-1.5087356567382812,1005.3786010742188
1764544905958063400,4.7210634765625,-1.4056854248046875,1005.3663940429688
1764544905983201000,4.746200927734375,-1.22601318359375,1005.3450317382812
1764544906008340700,4.7713408203125,-1.4056854248046875,1005.3663940429688
1764544906033475800,4.796475830078125,-1.9420700073242188,1005.4304809570312
1764544906058618400,4.821618408203125,-2.1983718872070312,1005.4609985351562
1764544906083752200,4.846752197265625,-1.9684906005859375,1005.4335327148438
1764544906108889000,4.87188916015625,-1.738616943359375,1005.4060668945312
1764544906134030800,4.89703076171875,-1.9182891845703125,1005.4274291992188
1764544906159170300,4.92217041015625,-2.0715408325195312,1005.4457397460938
1764544906184313000,4.94731298828125,-1.8152389526367188,1005.4152221679688
