time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1764544901376931800,0.139931884765625,0.15241308510303497,0.04809630662202835,0.2185794860124588,0.962642252445221,0.02885369583964348,-0.4505811035633087,-0.3074357807636261
1764544901402611000,0.16561083984375,0.15116076171398163,0.04849443957209587,0.21767540276050568,0.9630244970321655,0.03063310869038105,-0.44883301854133606,-0.3043956458568573
1764544901419702500,0.18270263671875,0.1496499925851822,0.049348779022693634,0.2159172147512436,0.9636126160621643,0.03378530964255333,-0.4454801082611084,-0.3004873991012573
1764544901436788500,0.19978857421875,0.14945660531520844,0.050521206110715866,0.21501944959163666,0.9637826681137085,0.036674294620752335,-0.4440115690231323,-0.29941582679748535
1764544901453879800,0.2168798828125,0.151879221200943,0.05287329852581024,0.2159094512462616,0.9630785584449768,0.04021240025758743,-0.4466384947299957,-0.30369359254837036
1764544901470975700,0.233975830078125,0.15784527361392975,0.05730656534433365,0.21838034689426422,0.9613069295883179,0.045886918902397156,-0.4533195495605469,-0.314908504486084
1764544901488093000,0.251093017578125,0.1661362648010254,0.0652245581150055,0.22073011100292206,0.9588654041290283,0.0578078031539917,-0.4611443877220154,-0.32954663038253784
1764544901505197300,0.268197265625,0.17476573586463928,0.07355167716741562,0.22154824435710907,0.9565373063087463,0.07089203596115112,-0.46625807881355286,-0.34458717703819275
1764544901522301400,0.285301513671875,0.18189920485019684,0.08014269918203354,0.22025446593761444,0.9549753665924072,0.08176081627607346,-0.46657606959342957,-0.3570035696029663
1764544901539388700,0.302388671875,0.18709726631641388,0.08371282368898392,0.21738974750041962,0.9543209075927734,0.0877544954419136,-0.4625639319419861,-0.36651620268821716
1764544901556494800,0.319494873046875,0.1912539303302765,0.0853198990225792,0.21366411447525024,0.9541960954666138,0.09044968336820602,-0.45603352785110474,-0.3746242821216583
1764544901573579500,0.33657958984375,0.19489780068397522,0.08576314896345139,0.20970100164413452,0.954298198223114,0.09106918424367905,-0.4485558271408081,-0.38213416934013367
1764544901590688000,0.35368798828125,0.19721746444702148,0.08837556093931198,0.2053685039281845,0.9545254111289978,0.09714468568563461,-0.44108107686042786,-0.38569745421409607
1764544901607783200,0.370783203125,0.1969815194606781,0.09026996046304703,0.2034769058227539,0.9548020362854004,0.10200658440589905,-0.4379936456680298,-0.38418158888816833
1764544901624880000,0.387880126953125,0.1952369064092636,0.08981470763683319,0.203897163271904,0.9551135301589966,0.10173273086547852,-0.4384760558605194,-0.38058236241340637
1764544901641970700,0.404970703125,0.19334527850151062,0.08787807822227478,0.20574863255023956,0.9552814364433289,0.09784913063049316,-0.4412580132484436,-0.37743473052978516
1764544901659054800,0.422054931640625,0.19200651347637177,0.08583416044712067,0.20799584686756134,0.9552506804466248,0.09331822395324707,-0.44486695528030396,-0.3755952715873718
1764544901676169500,0.43916943359375,0.19211454689502716,0.08121969550848007,0.2104795128107071,0.9550884366035461,0.08250141143798828,-0.4481068253517151,-0.3781887888908386
1764544901693258500,0.456258544921875,0.191076397895813,0.0752870962023735,0.21393002569675446,0.9550160765647888,0.06905138492584229,-0.4526880383491516,-0.379030704498291
1764544901710361000,0.473361083984375,0.18805426359176636,0.06326715648174286,0.219625785946846,0.9551950097084045,0.0426996573805809,-0.45935073494911194,-0.37879377603530884
1764544901727447000,0.490447021484375,0.18282070755958557,0.04303019121289253,0.2263854742050171,0.9557586908340454,-0.0005850873421877623,-0.4650565981864929,-0.3781391382217407
